Time [seconds]	Counts
4.96328e+11	195
1.48898e+12	190
2.48164e+12	205
3.4743e+12	201
4.46695e+12	189
5.45961e+12	204
6.45227e+12	200
7.44492e+12	208
8.43758e+12	187
9.43024e+12	202
1.04229e+13	184
1.14155e+13	176
1.24082e+13	181
1.34009e+13	208
1.43935e+13	182
1.53862e+13	179
1.63788e+13	192
1.73715e+13	195
1.83641e+13	198
1.93568e+13	205
2.03495e+13	185
2.13421e+13	226
2.23348e+13	177
2.33274e+13	205
2.43201e+13	194
2.53127e+13	230
2.63054e+13	208
2.7298e+13	205
2.82907e+13	202
2.92834e+13	197
3.0276e+13	178
3.12687e+13	196
3.22613e+13	226
3.3254e+13	203
3.42466e+13	189
3.52393e+13	193
3.6232e+13	170
3.72246e+13	222
3.82173e+13	226
3.92099e+13	195
4.02026e+13	211
4.11952e+13	187
4.21879e+13	200
4.31805e+13	194
4.41732e+13	206
4.51659e+13	189
4.61585e+13	218
4.71512e+13	166
4.81438e+13	204
4.91365e+13	187
5.01291e+13	203
5.11218e+13	190
5.21145e+13	198
5.31071e+13	199
5.40998e+13	194
5.50924e+13	197
5.60851e+13	226
5.70777e+13	230
5.80704e+13	203
5.9063e+13	193
6.00557e+13	179
6.10484e+13	195
6.2041e+13	203
6.30337e+13	199
6.40263e+13	186
6.5019e+13	192
6.60116e+13	206
6.70043e+13	207
6.7997e+13	174
6.89896e+13	179
6.99823e+13	190
7.09749e+13	211
7.19676e+13	179
7.29602e+13	184
7.39529e+13	184
7.49456e+13	210
7.59382e+13	202
7.69309e+13	203
7.79235e+13	160
7.89162e+13	178
7.99088e+13	217
8.09015e+13	214
8.18941e+13	208
8.28868e+13	201
8.38795e+13	198
8.48721e+13	211
8.58648e+13	200
8.68574e+13	189
8.78501e+13	228
8.88427e+13	201
8.98354e+13	206
9.0828e+13	189
9.18207e+13	200
9.28134e+13	205
9.3806e+13	190
9.47987e+13	204
9.57913e+13	207
9.6784e+13	172
9.77766e+13	223
9.87693e+13	208
9.9762e+13	183
1.00755e+14	206
1.01747e+14	192
1.0274e+14	180
1.03733e+14	212
1.04725e+14	206
1.05718e+14	201
1.06711e+14	172
1.07703e+14	210
1.08696e+14	199
1.09689e+14	195
1.10681e+14	189
1.11674e+14	204
1.12666e+14	182
1.13659e+14	206
1.14652e+14	203
1.15644e+14	184
1.16637e+14	183
1.1763e+14	171
1.18622e+14	190
1.19615e+14	203
