Time [seconds]	Counts
4.99265e+11	187
1.49779e+12	165
2.49632e+12	156
3.49485e+12	171
4.49338e+12	164
5.49191e+12	165
6.49044e+12	162
7.48897e+12	162
8.4875e+12	171
9.48603e+12	186
1.04846e+13	177
1.14831e+13	169
1.24816e+13	153
1.34802e+13	156
1.44787e+13	163
1.54772e+13	168
1.64757e+13	200
1.74743e+13	186
1.84728e+13	162
1.94713e+13	181
2.04699e+13	175
2.14684e+13	163
2.24669e+13	183
2.34655e+13	168
2.4464e+13	168
2.54625e+13	193
2.6461e+13	178
2.74596e+13	171
2.84581e+13	169
2.94566e+13	182
3.04552e+13	180
3.14537e+13	188
3.24522e+13	163
3.34508e+13	187
3.44493e+13	173
3.54478e+13	169
3.64463e+13	163
3.74449e+13	170
3.84434e+13	160
3.94419e+13	173
4.04405e+13	164
4.1439e+13	180
4.24375e+13	171
4.3436e+13	165
4.44346e+13	166
4.54331e+13	167
4.64316e+13	155
4.74302e+13	185
4.84287e+13	185
4.94272e+13	176
5.04258e+13	176
5.14243e+13	172
5.24228e+13	177
5.34213e+13	169
5.44199e+13	174
5.54184e+13	157
5.64169e+13	165
5.74155e+13	149
5.8414e+13	155
5.94125e+13	182
6.04111e+13	170
6.14096e+13	159
6.24081e+13	187
6.34066e+13	181
6.44052e+13	177
6.54037e+13	177
6.64022e+13	158
6.74008e+13	178
6.83993e+13	196
6.93978e+13	157
7.03964e+13	184
7.13949e+13	158
7.23934e+13	177
7.33919e+13	169
7.43905e+13	155
7.5389e+13	177
7.63875e+13	174
7.73861e+13	187
7.83846e+13	150
7.93831e+13	188
8.03817e+13	181
8.13802e+13	181
8.23787e+13	160
8.33772e+13	150
8.43758e+13	174
8.53743e+13	194
8.63728e+13	185
8.73714e+13	191
8.83699e+13	168
8.93684e+13	189
9.0367e+13	144
9.13655e+13	160
9.2364e+13	167
9.33625e+13	175
9.43611e+13	182
9.53596e+13	188
9.63581e+13	167
9.73567e+13	158
9.83552e+13	162
9.93537e+13	158
1.00352e+14	164
1.01351e+14	178
1.02349e+14	165
1.03348e+14	195
1.04346e+14	167
1.05345e+14	160
1.06343e+14	156
1.07342e+14	165
1.0834e+14	170
1.09339e+14	172
1.10338e+14	176
1.11336e+14	184
1.12335e+14	168
1.13333e+14	185
1.14332e+14	182
1.1533e+14	179
1.16329e+14	160
1.17327e+14	169
1.18326e+14	198
1.19324e+14	197
1.20323e+14	179
1.21321e+14	153
1.2232e+14	180
1.23318e+14	172
1.24317e+14	168
1.25316e+14	148
1.26314e+14	170
1.27313e+14	160
1.28311e+14	159
1.2931e+14	179
1.30308e+14	162
1.31307e+14	174
1.32305e+14	185
1.33304e+14	158
1.34302e+14	165
1.35301e+14	167
1.36299e+14	160
1.37298e+14	162
1.38296e+14	156
1.39295e+14	159
1.40293e+14	203
1.41292e+14	162
1.42291e+14	182
1.43289e+14	179
1.44288e+14	168
1.45286e+14	170
1.46285e+14	185
1.47283e+14	182
1.48282e+14	167
1.4928e+14	189
1.50279e+14	170
1.51277e+14	153
1.52276e+14	171
1.53274e+14	196
1.54273e+14	151
1.55271e+14	174
1.5627e+14	170
1.57268e+14	198
1.58267e+14	168
1.59266e+14	204
1.60264e+14	170
1.61263e+14	172
1.62261e+14	174
1.6326e+14	158
1.64258e+14	144
1.65257e+14	192
1.66255e+14	186
1.67254e+14	179
1.68252e+14	180
1.69251e+14	188
1.70249e+14	193
1.71248e+14	201
1.72246e+14	171
1.73245e+14	198
1.74243e+14	155
1.75242e+14	186
1.76241e+14	151
1.77239e+14	172
1.78238e+14	164
1.79236e+14	178
1.80235e+14	166
1.81233e+14	195
1.82232e+14	151
1.8323e+14	165
1.84229e+14	158
1.85227e+14	202
1.86226e+14	168
1.87224e+14	139
1.88223e+14	154
1.89221e+14	195
1.9022e+14	179
1.91218e+14	177
1.92217e+14	190
1.93216e+14	163
1.94214e+14	178
1.95213e+14	194
1.96211e+14	157
1.9721e+14	178
1.98208e+14	184
1.99207e+14	170
2.00205e+14	186
2.01204e+14	184
2.02202e+14	188
2.03201e+14	171
2.04199e+14	173
2.05198e+14	212
2.06196e+14	185
2.07195e+14	161
2.08193e+14	188
2.09192e+14	163
2.10191e+14	182
2.11189e+14	171
2.12188e+14	173
2.13186e+14	167
2.14185e+14	174
2.15183e+14	159
2.16182e+14	185
2.1718e+14	181
2.18179e+14	197
2.19177e+14	196
2.20176e+14	201
2.21174e+14	170
2.22173e+14	185
2.23171e+14	170
2.2417e+14	173
2.25168e+14	180
2.26167e+14	203
2.27166e+14	181
2.28164e+14	167
2.29163e+14	179
2.30161e+14	186
2.3116e+14	173
2.32158e+14	169
2.33157e+14	169
2.34155e+14	163
2.35154e+14	175
2.36152e+14	203
2.37151e+14	202
2.38149e+14	178
2.39148e+14	171
2.40146e+14	174
2.41145e+14	167
2.42143e+14	163
2.43142e+14	158
2.44141e+14	152
2.45139e+14	164
2.46138e+14	157
2.47136e+14	175
2.48135e+14	176
2.49133e+14	168
2.50132e+14	176
2.5113e+14	182
2.52129e+14	159
2.53127e+14	184
2.54126e+14	167
2.55124e+14	169
2.56123e+14	174
2.57121e+14	184
2.5812e+14	161
2.59118e+14	171
2.60117e+14	156
2.61116e+14	166
2.62114e+14	188
2.63113e+14	178
2.64111e+14	164
2.6511e+14	142
2.66108e+14	158
2.67107e+14	171
2.68105e+14	166
2.69104e+14	162
2.70102e+14	153
2.71101e+14	194
2.72099e+14	185
2.73098e+14	145
2.74096e+14	174
2.75095e+14	183
2.76094e+14	169
2.77092e+14	177
2.78091e+14	170
2.79089e+14	169
2.80088e+14	156
2.81086e+14	152
2.82085e+14	173
2.83083e+14	172
2.84082e+14	188
2.8508e+14	166
2.86079e+14	157
2.87077e+14	165
2.88076e+14	162
2.89074e+14	140
2.90073e+14	176
2.91071e+14	164
2.9207e+14	152
2.93069e+14	140
2.94067e+14	182
2.95066e+14	188
2.96064e+14	187
2.97063e+14	183
2.98061e+14	156
2.9906e+14	190
3.00058e+14	182
3.01057e+14	171
3.02055e+14	178
3.03054e+14	181
3.04052e+14	196
3.05051e+14	150
3.06049e+14	192
3.07048e+14	158
3.08046e+14	191
3.09045e+14	148
3.10044e+14	159
3.11042e+14	151
3.12041e+14	165
3.13039e+14	170
3.14038e+14	166
3.15036e+14	146
3.16035e+14	158
3.17033e+14	174
3.18032e+14	165
3.1903e+14	178
3.20029e+14	168
3.21027e+14	193
3.22026e+14	186
3.23024e+14	188
3.24023e+14	174
3.25021e+14	185
3.2602e+14	210
3.27019e+14	174
3.28017e+14	175
3.29016e+14	188
3.30014e+14	140
3.31013e+14	164
3.32011e+14	167
3.3301e+14	168
3.34008e+14	189
3.35007e+14	199
3.36005e+14	160
3.37004e+14	176
3.38002e+14	160
3.39001e+14	193
3.39999e+14	197
3.40998e+14	162
3.41996e+14	179
3.42995e+14	176
3.43994e+14	154
3.44992e+14	164
3.45991e+14	175
3.46989e+14	170
3.47988e+14	142
3.48986e+14	198
3.49985e+14	170
3.50983e+14	181
3.51982e+14	147
3.5298e+14	182
3.53979e+14	175
3.54977e+14	170
3.55976e+14	169
3.56974e+14	199
3.57973e+14	176
3.58971e+14	190
3.5997e+14	189
3.60969e+14	151
3.61967e+14	201
3.62966e+14	178
3.63964e+14	143
3.64963e+14	205
3.65961e+14	167
3.6696e+14	144
3.67958e+14	184
3.68957e+14	150
3.69955e+14	173
3.70954e+14	196
3.71952e+14	191
3.72951e+14	163
3.73949e+14	168
3.74948e+14	181
3.75947e+14	192
3.76945e+14	176
3.77944e+14	181
3.78942e+14	169
3.79941e+14	155
3.80939e+14	195
3.81938e+14	177
3.82936e+14	169
3.83935e+14	155
3.84933e+14	168
3.85932e+14	178
3.8693e+14	160
3.87929e+14	189
3.88927e+14	165
3.89926e+14	165
3.90924e+14	166
3.91923e+14	177
3.92921e+14	169
3.9392e+14	167
3.94919e+14	167
3.95917e+14	168
3.96916e+14	180
3.97914e+14	160
3.98913e+14	180
3.99911e+14	163
4.0091e+14	161
4.01908e+14	184
4.02907e+14	167
4.03905e+14	175
4.04904e+14	171
4.05902e+14	153
4.06901e+14	155
4.07899e+14	153
4.08898e+14	173
4.09897e+14	162
4.10895e+14	184
4.11894e+14	174
4.12892e+14	184
4.13891e+14	149
4.14889e+14	167
4.15888e+14	157
4.16886e+14	169
4.17885e+14	169
4.18883e+14	160
4.19882e+14	164
4.2088e+14	186
4.21879e+14	175
4.22877e+14	179
4.23876e+14	147
4.24874e+14	166
4.25873e+14	176
4.26872e+14	172
4.2787e+14	164
4.28869e+14	175
4.29867e+14	180
4.30866e+14	194
4.31864e+14	181
4.32863e+14	169
4.33861e+14	162
4.3486e+14	152
4.35858e+14	158
4.36857e+14	182
4.37855e+14	164
4.38854e+14	175
4.39852e+14	173
4.40851e+14	175
4.41849e+14	136
4.42848e+14	149
