Time [seconds]	Counts
4.96353e+11	102
1.48906e+12	109
2.48177e+12	105
3.47447e+12	113
4.46718e+12	90
5.45988e+12	115
6.45259e+12	82
7.4453e+12	102
8.438e+12	107
9.43071e+12	99
1.04234e+13	115
1.14161e+13	99
1.24088e+13	107
1.34015e+13	112
1.43942e+13	100
1.53869e+13	95
1.63797e+13	108
1.73724e+13	105
1.83651e+13	113
1.93578e+13	125
2.03505e+13	116
2.13432e+13	109
2.23359e+13	111
2.33286e+13	91
2.43213e+13	95
2.5314e+13	114
2.63067e+13	115
2.72994e+13	95
2.82921e+13	109
2.92848e+13	106
3.02775e+13	97
3.12702e+13	109
3.2263e+13	106
3.32557e+13	100
3.42484e+13	110
3.52411e+13	124
3.62338e+13	123
3.72265e+13	96
3.82192e+13	107
3.92119e+13	99
4.02046e+13	110
4.11973e+13	93
4.219e+13	112
4.31827e+13	89
4.41754e+13	98
4.51681e+13	104
4.61608e+13	100
4.71535e+13	101
4.81462e+13	121
4.9139e+13	121
5.01317e+13	103
5.11244e+13	103
5.21171e+13	99
5.31098e+13	101
5.41025e+13	93
5.50952e+13	101
5.60879e+13	123
5.70806e+13	108
5.80733e+13	113
5.9066e+13	88
6.00587e+13	119
6.10514e+13	97
6.20441e+13	91
6.30368e+13	102
6.40295e+13	102
6.50223e+13	105
6.6015e+13	89
6.70077e+13	94
6.80004e+13	94
6.89931e+13	106
6.99858e+13	101
7.09785e+13	88
7.19712e+13	99
7.29639e+13	108
7.39566e+13	87
7.49493e+13	106
7.5942e+13	96
7.69347e+13	97
7.79274e+13	90
7.89201e+13	128
7.99128e+13	92
8.09055e+13	103
8.18983e+13	103
8.2891e+13	111
8.38837e+13	98
8.48764e+13	106
8.58691e+13	106
8.68618e+13	94
8.78545e+13	93
8.88472e+13	66
8.98399e+13	107
9.08326e+13	86
9.18253e+13	94
9.2818e+13	105
9.38107e+13	92
9.48034e+13	106
9.57961e+13	125
9.67888e+13	89
9.77816e+13	102
9.87743e+13	103
9.9767e+13	102
1.0076e+14	97
1.01752e+14	119
1.02745e+14	96
1.03738e+14	86
1.04731e+14	106
1.05723e+14	101
1.06716e+14	107
1.07709e+14	102
1.08701e+14	104
1.09694e+14	95
1.10687e+14	106
1.11679e+14	103
1.12672e+14	103
1.13665e+14	92
1.14658e+14	105
1.1565e+14	85
1.16643e+14	100
1.17636e+14	102
1.18628e+14	111
1.19621e+14	102
