Time [seconds]	Counts
4.99261e+11	175
1.49778e+12	179
2.49631e+12	195
3.49483e+12	186
4.49335e+12	193
5.49187e+12	166
6.4904e+12	208
7.48892e+12	181
8.48744e+12	204
9.48596e+12	231
1.04845e+13	194
1.1483e+13	187
1.24815e+13	195
1.34801e+13	186
1.44786e+13	213
1.54771e+13	170
1.64756e+13	190
1.74741e+13	181
1.84727e+13	189
1.94712e+13	213
2.04697e+13	182
2.14682e+13	191
2.24668e+13	197
2.34653e+13	210
2.44638e+13	204
2.54623e+13	207
2.64608e+13	204
2.74594e+13	202
2.84579e+13	178
2.94564e+13	213
3.04549e+13	189
3.14535e+13	197
3.2452e+13	204
3.34505e+13	194
3.4449e+13	189
3.54475e+13	209
3.64461e+13	181
3.74446e+13	188
3.84431e+13	202
3.94416e+13	190
4.04402e+13	173
4.14387e+13	209
4.24372e+13	184
4.34357e+13	207
4.44342e+13	183
4.54328e+13	216
4.64313e+13	218
4.74298e+13	169
4.84283e+13	209
4.94269e+13	190
5.04254e+13	177
5.14239e+13	215
5.24224e+13	183
5.3421e+13	199
5.44195e+13	187
5.5418e+13	203
5.64165e+13	188
5.7415e+13	158
5.84136e+13	216
5.94121e+13	177
6.04106e+13	219
6.14091e+13	199
6.24077e+13	168
6.34062e+13	194
6.44047e+13	192
6.54032e+13	212
6.64017e+13	194
6.74003e+13	189
6.83988e+13	220
6.93973e+13	211
7.03958e+13	173
7.13944e+13	183
7.23929e+13	213
7.33914e+13	196
7.43899e+13	201
7.53884e+13	201
7.6387e+13	211
7.73855e+13	191
7.8384e+13	201
7.93825e+13	195
8.03811e+13	212
8.13796e+13	200
8.23781e+13	202
8.33766e+13	191
8.43751e+13	194
8.53737e+13	211
8.63722e+13	214
8.73707e+13	218
8.83692e+13	204
8.93678e+13	166
9.03663e+13	195
9.13648e+13	230
9.23633e+13	184
9.33619e+13	236
9.43604e+13	186
9.53589e+13	182
9.63574e+13	202
9.73559e+13	171
9.83545e+13	207
9.9353e+13	196
1.00352e+14	186
1.0135e+14	174
1.02349e+14	210
1.03347e+14	209
1.04346e+14	229
1.05344e+14	176
1.06343e+14	198
1.07341e+14	158
1.0834e+14	198
1.09338e+14	232
1.10337e+14	190
1.11335e+14	194
1.12334e+14	183
1.13332e+14	186
1.14331e+14	203
1.15329e+14	208
1.16328e+14	187
1.17326e+14	208
1.18325e+14	198
1.19323e+14	196
1.20322e+14	176
1.2132e+14	218
1.22319e+14	197
1.23318e+14	203
1.24316e+14	204
1.25315e+14	193
1.26313e+14	203
1.27312e+14	187
1.2831e+14	182
1.29309e+14	192
1.30307e+14	217
1.31306e+14	189
1.32304e+14	217
1.33303e+14	201
1.34301e+14	225
