Time [seconds]	Counts
4.99332e+11	115
1.498e+12	99
2.49666e+12	117
3.49533e+12	109
4.49399e+12	105
5.49265e+12	112
6.49132e+12	102
7.48998e+12	106
8.48865e+12	108
9.48731e+12	96
1.0486e+13	118
1.14846e+13	99
1.24833e+13	110
1.3482e+13	119
1.44806e+13	101
1.54793e+13	91
1.6478e+13	111
1.74766e+13	114
1.84753e+13	106
1.9474e+13	103
2.04726e+13	90
2.14713e+13	105
2.24699e+13	122
2.34686e+13	111
2.44673e+13	95
2.54659e+13	96
2.64646e+13	82
2.74633e+13	97
2.84619e+13	85
2.94606e+13	89
3.04593e+13	115
3.14579e+13	103
3.24566e+13	104
3.34553e+13	95
3.44539e+13	88
3.54526e+13	96
3.64512e+13	85
3.74499e+13	102
3.84486e+13	106
3.94472e+13	113
4.04459e+13	94
4.14446e+13	97
4.24432e+13	94
4.34419e+13	105
4.44406e+13	93
4.54392e+13	101
4.64379e+13	103
4.74366e+13	115
4.84352e+13	101
4.94339e+13	96
5.04325e+13	99
5.14312e+13	103
5.24299e+13	99
5.34285e+13	95
5.44272e+13	106
5.54259e+13	95
5.64245e+13	101
5.74232e+13	100
5.84219e+13	91
5.94205e+13	91
6.04192e+13	108
6.14179e+13	97
6.24165e+13	89
6.34152e+13	110
6.44138e+13	98
6.54125e+13	99
6.64112e+13	106
6.74098e+13	99
6.84085e+13	113
6.94072e+13	96
7.04058e+13	80
7.14045e+13	96
7.24032e+13	97
7.34018e+13	114
7.44005e+13	126
7.53991e+13	115
7.63978e+13	110
7.73965e+13	109
7.83951e+13	97
7.93938e+13	105
8.03925e+13	88
8.13911e+13	100
8.23898e+13	106
8.33885e+13	102
8.43871e+13	102
8.53858e+13	108
8.63845e+13	100
8.73831e+13	112
8.83818e+13	91
8.93805e+13	109
9.03791e+13	109
9.13778e+13	95
9.23764e+13	120
9.33751e+13	114
9.43738e+13	97
9.53724e+13	114
9.63711e+13	91
9.73698e+13	120
9.83684e+13	129
9.93671e+13	91
1.00366e+14	93
1.01364e+14	97
1.02363e+14	99
1.03362e+14	119
1.0436e+14	109
1.05359e+14	110
1.06358e+14	96
1.07356e+14	100
1.08355e+14	113
1.09354e+14	89
1.10352e+14	109
1.11351e+14	99
1.1235e+14	113
1.13348e+14	121
1.14347e+14	96
1.15346e+14	113
1.16344e+14	103
1.17343e+14	98
1.18342e+14	101
1.1934e+14	107
1.20339e+14	104
1.21338e+14	97
1.22336e+14	115
1.23335e+14	103
1.24334e+14	98
1.25332e+14	94
1.26331e+14	84
1.2733e+14	98
1.28328e+14	112
1.29327e+14	98
1.30326e+14	103
1.31324e+14	94
1.32323e+14	92
1.33322e+14	120
1.3432e+14	117
1.35319e+14	104
1.36318e+14	109
1.37316e+14	119
1.38315e+14	92
1.39314e+14	91
1.40312e+14	81
1.41311e+14	103
1.4231e+14	89
1.43308e+14	95
1.44307e+14	120
1.45306e+14	99
1.46304e+14	115
1.47303e+14	123
1.48302e+14	102
1.493e+14	99
1.50299e+14	113
1.51298e+14	94
1.52296e+14	108
1.53295e+14	105
1.54294e+14	79
1.55292e+14	99
1.56291e+14	107
1.5729e+14	119
1.58288e+14	111
1.59287e+14	93
1.60286e+14	104
1.61284e+14	102
1.62283e+14	113
1.63282e+14	103
1.6428e+14	108
1.65279e+14	96
1.66278e+14	97
1.67276e+14	103
1.68275e+14	98
1.69274e+14	96
1.70272e+14	108
1.71271e+14	118
1.7227e+14	97
1.73268e+14	114
1.74267e+14	108
1.75266e+14	100
1.76264e+14	106
1.77263e+14	78
1.78262e+14	106
1.7926e+14	95
1.80259e+14	113
1.81258e+14	114
1.82256e+14	98
1.83255e+14	118
1.84254e+14	86
1.85252e+14	100
1.86251e+14	105
1.8725e+14	102
1.88248e+14	110
1.89247e+14	100
1.90246e+14	112
1.91244e+14	103
1.92243e+14	106
1.93242e+14	97
1.9424e+14	102
1.95239e+14	92
1.96238e+14	111
1.97236e+14	97
1.98235e+14	118
1.99234e+14	101
2.00232e+14	112
2.01231e+14	116
2.0223e+14	107
2.03228e+14	102
2.04227e+14	95
2.05225e+14	93
2.06224e+14	105
2.07223e+14	103
2.08222e+14	99
2.0922e+14	101
2.10219e+14	93
2.11217e+14	115
2.12216e+14	105
2.13215e+14	108
2.14213e+14	104
2.15212e+14	98
2.16211e+14	101
2.17209e+14	102
2.18208e+14	105
2.19207e+14	108
2.20205e+14	111
2.21204e+14	91
2.22203e+14	98
2.23201e+14	117
2.242e+14	113
2.25199e+14	103
2.26197e+14	102
2.27196e+14	109
2.28195e+14	89
2.29193e+14	109
2.30192e+14	101
2.31191e+14	99
2.32189e+14	121
2.33188e+14	105
2.34187e+14	92
2.35185e+14	95
2.36184e+14	108
2.37183e+14	94
2.38181e+14	120
2.3918e+14	92
2.40179e+14	128
2.41177e+14	91
2.42176e+14	98
2.43175e+14	102
2.44173e+14	112
2.45172e+14	111
2.46171e+14	109
2.47169e+14	101
2.48168e+14	107
2.49167e+14	90
2.50165e+14	101
2.51164e+14	94
2.52163e+14	96
2.53161e+14	107
2.5416e+14	121
2.55159e+14	104
2.56157e+14	96
2.57156e+14	104
2.58155e+14	94
2.59153e+14	107
2.60152e+14	95
2.61151e+14	103
2.62149e+14	103
2.63148e+14	114
2.64147e+14	99
2.65145e+14	103
2.66144e+14	105
2.67143e+14	94
2.68141e+14	78
2.6914e+14	79
2.70139e+14	99
2.71137e+14	102
2.72136e+14	92
2.73135e+14	97
2.74133e+14	76
2.75132e+14	88
2.76131e+14	101
2.77129e+14	94
2.78128e+14	118
2.79127e+14	105
2.80125e+14	94
2.81124e+14	82
2.82123e+14	103
2.83121e+14	97
2.8412e+14	96
2.85119e+14	107
2.86117e+14	102
2.87116e+14	116
2.88115e+14	102
2.89113e+14	109
2.90112e+14	122
2.91111e+14	92
2.92109e+14	91
2.93108e+14	98
2.94107e+14	111
2.95105e+14	91
2.96104e+14	106
2.97103e+14	99
2.98101e+14	92
2.991e+14	92
3.00099e+14	106
3.01097e+14	124
3.02096e+14	104
3.03095e+14	98
3.04093e+14	104
3.05092e+14	96
3.06091e+14	91
3.07089e+14	95
3.08088e+14	93
3.09087e+14	79
3.10085e+14	83
3.11084e+14	94
3.12083e+14	83
3.13081e+14	93
3.1408e+14	97
3.15079e+14	103
3.16077e+14	89
3.17076e+14	102
3.18075e+14	100
3.19073e+14	98
3.20072e+14	108
3.21071e+14	99
3.22069e+14	99
3.23068e+14	80
3.24067e+14	105
3.25065e+14	105
3.26064e+14	77
3.27063e+14	95
3.28061e+14	126
3.2906e+14	125
3.30059e+14	89
3.31057e+14	111
3.32056e+14	104
3.33055e+14	97
3.34053e+14	106
3.35052e+14	119
3.36051e+14	111
3.37049e+14	103
3.38048e+14	104
3.39047e+14	111
3.40045e+14	111
3.41044e+14	107
3.42043e+14	104
3.43041e+14	110
3.4404e+14	98
3.45039e+14	99
3.46037e+14	94
3.47036e+14	130
3.48034e+14	116
3.49033e+14	90
3.50032e+14	101
3.5103e+14	119
3.52029e+14	109
