Time [seconds]	Counts
4.98497e+11	97
1.49549e+12	103
2.49248e+12	119
3.48948e+12	88
4.48647e+12	97
5.48347e+12	119
6.48046e+12	84
7.47745e+12	105
8.47445e+12	98
9.47144e+12	84
1.04684e+13	118
1.14654e+13	99
1.24624e+13	86
1.34594e+13	125
1.44564e+13	104
1.54534e+13	96
1.64504e+13	120
1.74474e+13	82
1.84444e+13	105
1.94414e+13	87
2.04384e+13	103
2.14354e+13	102
2.24324e+13	87
2.34294e+13	105
2.44264e+13	110
2.54233e+13	101
2.64203e+13	106
2.74173e+13	104
2.84143e+13	98
2.94113e+13	99
3.04083e+13	89
3.14053e+13	96
3.24023e+13	111
3.33993e+13	87
3.43963e+13	101
3.53933e+13	106
3.63903e+13	98
3.73873e+13	96
3.83843e+13	111
3.93813e+13	111
4.03783e+13	95
4.13752e+13	105
4.23722e+13	107
4.33692e+13	110
4.43662e+13	106
4.53632e+13	99
4.63602e+13	113
4.73572e+13	107
4.83542e+13	115
4.93512e+13	104
5.03482e+13	112
5.13452e+13	115
5.23422e+13	99
5.33392e+13	109
5.43362e+13	111
5.53332e+13	85
5.63302e+13	92
5.73272e+13	94
5.83241e+13	93
5.93211e+13	107
6.03181e+13	92
6.13151e+13	80
6.23121e+13	107
6.33091e+13	105
6.43061e+13	108
6.53031e+13	107
6.63001e+13	102
6.72971e+13	118
6.82941e+13	91
6.92911e+13	108
7.02881e+13	106
7.12851e+13	109
7.22821e+13	103
7.32791e+13	103
7.4276e+13	106
7.5273e+13	100
7.627e+13	89
7.7267e+13	132
7.8264e+13	88
7.9261e+13	95
8.0258e+13	79
8.1255e+13	106
8.2252e+13	108
8.3249e+13	105
8.4246e+13	103
8.5243e+13	91
8.624e+13	93
8.7237e+13	108
8.8234e+13	72
8.9231e+13	113
9.0228e+13	113
9.12249e+13	102
9.22219e+13	110
9.32189e+13	107
9.42159e+13	99
9.52129e+13	103
9.62099e+13	117
9.72069e+13	107
9.82039e+13	102
9.92009e+13	107
1.00198e+14	96
1.01195e+14	100
1.02192e+14	112
1.03189e+14	99
1.04186e+14	100
1.05183e+14	118
1.0618e+14	95
1.07177e+14	115
1.08174e+14	92
1.09171e+14	102
1.10168e+14	106
1.11165e+14	116
1.12162e+14	103
1.13159e+14	120
1.14156e+14	117
1.15153e+14	91
1.1615e+14	103
1.17147e+14	111
1.18144e+14	102
1.19141e+14	102
1.20138e+14	100
1.21135e+14	105
1.22132e+14	104
1.23129e+14	106
1.24126e+14	91
1.25123e+14	106
1.2612e+14	100
1.27117e+14	91
1.28114e+14	95
1.29111e+14	96
1.30108e+14	113
1.31105e+14	94
1.32102e+14	115
1.33099e+14	105
1.34096e+14	98
1.35093e+14	107
1.3609e+14	127
1.37087e+14	105
1.38084e+14	114
1.39081e+14	111
1.40078e+14	106
1.41075e+14	107
1.42072e+14	105
1.43069e+14	120
1.44066e+14	120
1.45063e+14	102
1.4606e+14	122
1.47057e+14	97
1.48054e+14	98
1.49051e+14	94
1.50048e+14	99
1.51045e+14	105
1.52042e+14	91
1.53039e+14	109
1.54036e+14	106
1.55033e+14	96
1.5603e+14	97
1.57027e+14	106
1.58024e+14	66
1.59021e+14	79
1.60018e+14	113
1.61015e+14	111
1.62012e+14	105
1.63009e+14	91
1.64006e+14	106
1.65003e+14	101
1.65999e+14	112
1.66996e+14	79
1.67993e+14	105
1.6899e+14	106
1.69987e+14	91
1.70984e+14	88
1.71981e+14	100
1.72978e+14	98
1.73975e+14	116
1.74972e+14	97
1.75969e+14	98
1.76966e+14	92
1.77963e+14	110
1.7896e+14	89
1.79957e+14	88
1.80954e+14	80
1.81951e+14	108
1.82948e+14	101
1.83945e+14	96
1.84942e+14	106
1.85939e+14	106
1.86936e+14	114
1.87933e+14	95
1.8893e+14	95
1.89927e+14	90
1.90924e+14	120
1.91921e+14	117
1.92918e+14	115
1.93915e+14	92
1.94912e+14	109
1.95909e+14	101
1.96906e+14	108
1.97903e+14	96
1.989e+14	109
1.99897e+14	111
2.00894e+14	127
2.01891e+14	106
2.02888e+14	104
2.03885e+14	97
2.04882e+14	104
2.05879e+14	97
2.06876e+14	104
2.07873e+14	108
2.0887e+14	90
2.09867e+14	90
2.10864e+14	97
2.11861e+14	92
2.12858e+14	91
2.13855e+14	92
2.14852e+14	76
2.15849e+14	89
2.16846e+14	87
2.17843e+14	102
2.1884e+14	93
2.19837e+14	114
2.20834e+14	108
2.21831e+14	113
2.22828e+14	119
2.23825e+14	95
2.24822e+14	101
2.25819e+14	100
2.26816e+14	107
2.27813e+14	107
2.2881e+14	96
2.29807e+14	104
2.30804e+14	109
2.31801e+14	99
2.32798e+14	91
2.33795e+14	99
2.34792e+14	106
2.35789e+14	99
2.36786e+14	99
2.37783e+14	93
2.3878e+14	98
2.39777e+14	98
2.40774e+14	101
2.41771e+14	101
2.42768e+14	103
2.43765e+14	91
2.44762e+14	99
2.45759e+14	107
2.46756e+14	100
2.47753e+14	106
2.4875e+14	105
2.49747e+14	106
2.50744e+14	109
2.51741e+14	122
2.52738e+14	118
2.53735e+14	88
2.54732e+14	112
2.55729e+14	98
2.56726e+14	108
2.57723e+14	103
2.5872e+14	81
2.59717e+14	102
2.60714e+14	119
2.61711e+14	95
2.62708e+14	84
2.63705e+14	97
2.64702e+14	97
2.65699e+14	109
2.66696e+14	101
2.67693e+14	115
2.6869e+14	92
2.69687e+14	105
2.70684e+14	96
2.71681e+14	85
2.72678e+14	121
2.73675e+14	90
2.74672e+14	116
2.75669e+14	94
2.76666e+14	98
2.77663e+14	110
2.7866e+14	86
2.79657e+14	117
2.80654e+14	103
2.81651e+14	120
2.82648e+14	110
2.83645e+14	102
2.84642e+14	119
2.85639e+14	107
2.86636e+14	118
2.87633e+14	103
2.8863e+14	105
2.89627e+14	95
2.90624e+14	100
2.91621e+14	90
2.92618e+14	108
2.93615e+14	104
2.94612e+14	99
2.95609e+14	111
2.96606e+14	93
2.97603e+14	118
2.986e+14	100
2.99597e+14	126
