Time [seconds]	Counts
4.96332e+11	162
1.489e+12	208
2.48166e+12	189
3.47433e+12	201
4.46699e+12	195
5.45966e+12	189
6.45232e+12	159
7.44498e+12	173
8.43765e+12	165
9.43031e+12	184
1.0423e+13	189
1.14156e+13	179
1.24083e+13	198
1.3401e+13	187
1.43936e+13	189
1.53863e+13	183
1.6379e+13	202
1.73716e+13	147
1.83643e+13	173
1.9357e+13	202
2.03496e+13	180
2.13423e+13	177
2.2335e+13	203
2.33276e+13	203
2.43203e+13	191
2.53129e+13	174
2.63056e+13	169
2.72983e+13	181
2.82909e+13	188
2.92836e+13	197
3.02763e+13	171
3.12689e+13	212
3.22616e+13	185
3.32543e+13	190
3.42469e+13	187
3.52396e+13	183
3.62323e+13	194
3.72249e+13	186
3.82176e+13	205
3.92102e+13	185
4.02029e+13	191
4.11956e+13	156
4.21882e+13	196
4.31809e+13	181
4.41736e+13	178
4.51662e+13	182
4.61589e+13	189
4.71516e+13	175
4.81442e+13	185
4.91369e+13	174
5.01296e+13	175
5.11222e+13	190
5.21149e+13	185
5.31076e+13	185
5.41002e+13	179
5.50929e+13	195
5.60855e+13	175
5.70782e+13	185
5.80709e+13	195
5.90635e+13	189
6.00562e+13	173
6.10489e+13	191
6.20415e+13	192
6.30342e+13	211
6.40269e+13	179
6.50195e+13	170
6.60122e+13	204
6.70049e+13	177
6.79975e+13	141
6.89902e+13	172
6.99829e+13	193
7.09755e+13	178
7.19682e+13	178
7.29608e+13	198
7.39535e+13	197
7.49462e+13	187
7.59388e+13	200
7.69315e+13	208
7.79242e+13	190
7.89168e+13	177
7.99095e+13	156
8.09022e+13	187
8.18948e+13	171
8.28875e+13	178
8.38802e+13	190
8.48728e+13	189
8.58655e+13	195
8.68582e+13	182
8.78508e+13	163
8.88435e+13	177
8.98361e+13	198
9.08288e+13	217
9.18215e+13	174
9.28141e+13	173
9.38068e+13	188
9.47995e+13	179
9.57921e+13	181
9.67848e+13	176
9.77775e+13	194
9.87701e+13	185
9.97628e+13	179
1.00755e+14	170
1.01748e+14	201
1.02741e+14	192
1.03733e+14	195
1.04726e+14	168
1.05719e+14	210
1.06711e+14	191
1.07704e+14	179
1.08697e+14	157
1.09689e+14	184
1.10682e+14	158
1.11675e+14	172
1.12667e+14	167
1.1366e+14	196
1.14653e+14	166
1.15645e+14	181
1.16638e+14	170
1.17631e+14	167
1.18623e+14	191
1.19616e+14	189
