Time [seconds]	Counts
4.96213e+11	180
1.48864e+12	160
2.48106e+12	167
3.47349e+12	194
4.46592e+12	165
5.45834e+12	165
6.45077e+12	198
7.44319e+12	182
8.43562e+12	159
9.42804e+12	172
1.04205e+13	152
1.14129e+13	175
1.24053e+13	170
1.33977e+13	198
1.43902e+13	169
1.53826e+13	169
1.6375e+13	146
1.73675e+13	194
1.83599e+13	164
1.93523e+13	182
2.03447e+13	165
2.13372e+13	158
2.23296e+13	164
2.3322e+13	174
2.43144e+13	162
2.53069e+13	133
2.62993e+13	178
2.72917e+13	188
2.82841e+13	166
2.92766e+13	171
3.0269e+13	165
3.12614e+13	183
3.22538e+13	178
3.32463e+13	186
3.42387e+13	186
3.52311e+13	177
3.62235e+13	172
3.7216e+13	180
3.82084e+13	151
3.92008e+13	166
4.01932e+13	167
4.11857e+13	186
4.21781e+13	174
4.31705e+13	170
4.41629e+13	165
4.51554e+13	153
4.61478e+13	170
4.71402e+13	167
4.81326e+13	163
4.91251e+13	181
5.01175e+13	196
5.11099e+13	196
5.21024e+13	160
5.30948e+13	189
5.40872e+13	163
5.50796e+13	191
5.60721e+13	167
5.70645e+13	153
5.80569e+13	183
5.90493e+13	161
6.00418e+13	187
6.10342e+13	170
6.20266e+13	155
6.3019e+13	174
6.40115e+13	171
6.50039e+13	177
6.59963e+13	179
6.69887e+13	155
6.79812e+13	157
6.89736e+13	199
6.9966e+13	177
7.09584e+13	168
7.19509e+13	177
7.29433e+13	162
7.39357e+13	187
7.49281e+13	172
7.59206e+13	178
7.6913e+13	178
7.79054e+13	180
7.88978e+13	163
7.98903e+13	183
8.08827e+13	133
8.18751e+13	168
8.28676e+13	167
8.386e+13	179
8.48524e+13	171
8.58448e+13	182
8.68373e+13	172
8.78297e+13	181
8.88221e+13	198
8.98145e+13	169
9.0807e+13	166
9.17994e+13	182
9.27918e+13	175
9.37842e+13	193
9.47767e+13	158
9.57691e+13	175
9.67615e+13	166
9.77539e+13	178
9.87464e+13	188
9.97388e+13	172
1.00731e+14	164
1.01724e+14	165
1.02716e+14	155
1.03708e+14	176
1.04701e+14	166
1.05693e+14	185
1.06686e+14	166
1.07678e+14	154
1.08671e+14	179
1.09663e+14	158
1.10655e+14	174
1.11648e+14	172
1.1264e+14	181
1.13633e+14	169
1.14625e+14	168
1.15618e+14	159
1.1661e+14	197
1.17602e+14	182
1.18595e+14	167
1.19587e+14	174
