Channel	Counts
0.499969	51
1.49991	2
2.49985	2
3.49979	0
4.49973	2
5.49966	2
6.4996	0
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	2
13.4992	0
14.4991	0
15.4991	1
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	0
21.4987	0
22.4986	1
23.4986	0
24.4985	0
25.4984	0
26.4984	0
27.4983	0
28.4983	0
29.4982	0
30.4981	1
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	0
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	0
42.4974	0
43.4973	0
44.4973	0
45.4972	0
46.4972	0
47.4971	0
48.497	0
49.497	0
50.4969	0
51.4969	0
52.4968	0
53.4967	0
54.4967	0
55.4966	0
56.4966	0
57.4965	0
58.4964	0
59.4964	0
60.4963	0
61.4962	0
62.4962	0
63.4961	0
64.4961	0
65.496	0
66.4959	0
67.4959	0
68.4958	0
69.4958	1
70.4957	0
71.4956	0
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	0
77.4953	1
78.4952	1
79.4951	1
80.4951	1
81.495	0
82.495	0
83.4949	0
84.4948	0
85.4948	0
86.4947	0
87.4947	0
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	0
93.4943	0
94.4942	0
95.4942	1
96.4941	0
97.494	0
98.494	0
99.4939	0
100.494	0
101.494	0
102.494	0
103.494	0
104.494	0
105.494	0
106.493	0
107.493	0
108.493	0
109.493	0
110.493	0
111.493	1
112.493	0
113.493	0
114.493	0
115.493	1
116.493	0
117.493	0
118.493	1
119.493	0
120.493	0
121.493	0
122.493	0
123.492	0
124.492	0
125.492	1
126.492	0
127.492	1
128.492	1
129.492	0
130.492	0
131.492	2
132.492	2
133.492	2
134.492	3
135.492	1
136.492	3
137.492	2
138.492	5
139.491	5
140.491	1
141.491	2
142.491	4
143.491	4
144.491	4
145.491	8
146.491	3
147.491	9
148.491	4
149.491	9
150.491	7
151.491	7
152.491	8
153.491	4
154.491	12
155.491	11
156.49	11
157.49	12
158.49	12
159.49	20
160.49	15
161.49	16
162.49	18
163.49	8
164.49	19
165.49	13
166.49	18
167.49	18
168.49	11
169.49	23
170.49	21
171.49	27
172.489	15
173.489	26
174.489	26
175.489	17
176.489	15
177.489	19
178.489	18
179.489	24
180.489	23
181.489	24
182.489	26
183.489	28
184.489	29
185.489	23
186.489	29
187.489	32
188.488	26
189.488	25
190.488	36
191.488	39
192.488	25
193.488	19
194.488	29
195.488	25
196.488	34
197.488	37
198.488	33
199.488	35
200.488	24
201.488	18
202.488	32
203.488	35
204.488	28
205.487	33
206.487	42
207.487	33
208.487	31
209.487	32
210.487	29
211.487	33
212.487	34
213.487	34
214.487	30
215.487	20
216.487	35
217.487	29
218.487	44
219.487	33
220.487	29
221.486	32
222.486	39
223.486	33
224.486	40
225.486	25
226.486	34
227.486	30
228.486	27
229.486	44
230.486	49
231.486	31
232.486	38
233.486	36
234.486	35
235.486	44
236.486	43
237.486	44
238.485	37
239.485	41
240.485	39
241.485	30
242.485	42
243.485	41
244.485	33
245.485	37
246.485	35
247.485	47
248.485	32
249.485	37
250.485	41
251.485	50
252.485	34
253.485	38
254.484	56
255.484	43
256.484	49
257.484	39
258.484	33
259.484	61
260.484	41
261.484	46
262.484	47
263.484	56
264.484	41
265.484	39
266.484	59
267.484	53
268.484	46
269.484	49
270.483	38
271.483	51
272.483	54
273.483	42
274.483	67
275.483	61
276.483	46
277.483	59
278.483	53
279.483	50
280.483	47
281.483	65
282.483	63
283.483	54
284.483	49
285.483	56
286.483	63
287.482	56
288.482	54
289.482	61
290.482	48
291.482	68
292.482	48
293.482	74
294.482	60
295.482	60
296.482	65
297.482	65
298.482	65
299.482	67
300.482	66
301.482	65
302.482	61
303.481	62
304.481	60
305.481	59
306.481	75
307.481	57
308.481	68
309.481	67
310.481	78
311.481	61
312.481	70
313.481	68
314.481	72
315.481	68
316.481	69
317.481	68
318.481	70
319.48	70
320.48	67
321.48	65
322.48	86
323.48	67
324.48	73
325.48	74
326.48	70
327.48	75
328.48	78
329.48	75
330.48	77
331.48	74
332.48	81
333.48	91
334.48	85
335.48	83
336.479	87
337.479	90
338.479	78
339.479	83
340.479	89
341.479	84
342.479	78
343.479	78
344.479	80
345.479	86
346.479	86
347.479	84
348.479	75
349.479	90
350.479	81
351.479	78
352.478	92
353.478	75
354.478	82
355.478	105
356.478	90
357.478	69
358.478	73
359.478	78
360.478	84
361.478	92
362.478	97
363.478	95
364.478	90
365.478	77
366.478	93
367.478	95
368.478	104
369.477	94
370.477	107
371.477	71
372.477	99
373.477	80
374.477	85
375.477	77
376.477	85
377.477	94
378.477	93
379.477	100
380.477	93
381.477	100
382.477	86
383.477	84
384.477	97
385.476	96
386.476	92
387.476	90
388.476	93
389.476	91
390.476	98
391.476	79
392.476	97
393.476	86
394.476	84
395.476	95
396.476	81
397.476	89
398.476	103
399.476	89
400.476	106
401.475	90
402.475	90
403.475	93
404.475	104
405.475	76
406.475	83
407.475	93
408.475	102
409.475	92
410.475	85
411.475	90
412.475	107
413.475	77
414.475	96
415.475	95
416.475	106
417.475	111
418.474	91
419.474	97
420.474	90
421.474	83
422.474	88
423.474	104
424.474	103
425.474	94
426.474	86
427.474	92
428.474	112
429.474	115
430.474	80
431.474	95
432.474	88
433.474	88
434.473	80
435.473	96
436.473	95
437.473	103
438.473	96
439.473	87
440.473	78
441.473	89
442.473	102
443.473	94
444.473	97
445.473	83
446.473	88
447.473	118
448.473	97
449.473	79
450.473	96
451.472	105
452.472	101
453.472	96
454.472	96
455.472	90
456.472	94
457.472	99
458.472	99
459.472	116
460.472	109
461.472	97
462.472	90
463.472	100
464.472	110
465.472	105
466.472	97
467.471	117
468.471	75
469.471	91
470.471	97
471.471	81
472.471	110
473.471	120
474.471	94
475.471	94
476.471	82
477.471	92
478.471	96
479.471	108
480.471	100
481.471	98
482.471	85
483.47	81
484.47	85
485.47	98
486.47	87
487.47	79
488.47	102
489.47	109
490.47	100
491.47	94
492.47	93
493.47	86
494.47	94
495.47	88
496.47	94
497.47	84
498.47	98
499.47	91
500.469	95
501.469	103
502.469	105
503.469	92
504.469	98
505.469	86
506.469	83
507.469	92
508.469	94
509.469	77
510.469	85
511.469	102
512.469	96
513.469	83
514.469	97
515.469	94
516.469	95
517.468	92
518.468	101
519.468	91
520.468	98
521.468	94
522.468	77
523.468	94
524.468	95
525.468	112
526.468	92
527.468	89
528.468	97
529.468	85
530.468	88
531.468	87
532.468	88
533.467	94
534.467	102
535.467	96
536.467	98
537.467	114
538.467	88
539.467	92
540.467	80
541.467	97
542.467	71
543.467	95
544.467	102
545.467	81
546.467	91
547.467	84
548.467	82
549.466	72
550.466	80
551.466	94
552.466	100
553.466	82
554.466	82
555.466	110
556.466	79
557.466	94
558.466	104
559.466	91
560.466	99
561.466	87
562.466	105
563.466	91
564.466	91
565.466	101
566.465	84
567.465	97
568.465	87
569.465	75
570.465	87
571.465	89
572.465	86
573.465	84
574.465	85
575.465	92
576.465	99
577.465	85
578.465	87
579.465	93
580.465	102
581.465	86
582.464	96
583.464	90
584.464	102
585.464	81
586.464	109
587.464	84
588.464	83
589.464	90
590.464	87
591.464	100
592.464	96
593.464	92
594.464	97
595.464	99
596.464	77
597.464	93
598.464	81
599.463	84
600.463	86
601.463	80
602.463	85
603.463	91
604.463	85
605.463	81
606.463	75
607.463	90
608.463	107
609.463	74
610.463	100
611.463	90
612.463	86
613.463	73
614.463	90
615.462	87
616.462	98
617.462	88
618.462	94
619.462	92
620.462	83
621.462	94
622.462	78
623.462	88
624.462	71
625.462	101
626.462	86
627.462	93
628.462	88
629.462	91
630.462	93
631.461	97
632.461	98
633.461	93
634.461	78
635.461	90
636.461	95
637.461	95
638.461	93
639.461	86
640.461	100
641.461	80
642.461	96
643.461	78
644.461	82
645.461	79
646.461	101
647.461	99
648.46	95
649.46	93
650.46	88
651.46	88
652.46	91
653.46	94
654.46	93
655.46	93
656.46	68
657.46	89
658.46	85
659.46	93
660.46	95
661.46	76
662.46	81
663.46	91
664.459	103
665.459	92
666.459	80
667.459	82
668.459	81
669.459	91
670.459	98
671.459	72
672.459	82
673.459	90
674.459	92
675.459	77
676.459	81
677.459	77
678.459	92
679.459	77
680.458	83
681.458	88
682.458	97
683.458	88
684.458	93
685.458	81
686.458	95
687.458	78
688.458	71
689.458	91
690.458	69
691.458	77
692.458	74
693.458	81
694.458	76
695.458	72
696.458	90
697.457	102
698.457	77
699.457	84
700.457	86
701.457	86
702.457	75
703.457	77
704.457	91
705.457	85
706.457	74
707.457	94
708.457	84
709.457	69
710.457	91
711.457	106
712.457	84
713.456	87
714.456	82
715.456	71
716.456	71
717.456	84
718.456	81
719.456	65
720.456	73
721.456	80
722.456	74
723.456	73
724.456	69
725.456	75
726.456	74
727.456	81
728.456	57
729.456	76
730.455	79
731.455	67
732.455	80
733.455	72
734.455	84
735.455	80
736.455	95
737.455	76
738.455	69
739.455	64
740.455	73
741.455	67
742.455	72
743.455	80
744.455	77
745.455	71
746.454	87
747.454	73
748.454	89
749.454	73
750.454	70
751.454	63
752.454	72
753.454	84
754.454	78
755.454	56
756.454	78
757.454	63
758.454	79
759.454	78
760.454	65
761.454	92
762.453	84
763.453	89
764.453	80
765.453	65
766.453	71
767.453	74
768.453	72
769.453	72
770.453	76
771.453	78
772.453	84
773.453	69
774.453	77
775.453	92
776.453	67
777.453	84
778.453	74
779.452	68
780.452	77
781.452	76
782.452	59
783.452	56
784.452	71
785.452	82
786.452	49
787.452	64
788.452	71
789.452	80
790.452	73
791.452	67
792.452	86
793.452	79
794.452	71
795.451	68
796.451	53
797.451	82
798.451	71
799.451	70
800.451	73
801.451	80
802.451	77
803.451	65
804.451	76
805.451	67
806.451	81
807.451	75
808.451	70
809.451	66
810.451	63
811.451	69
812.45	70
813.45	85
814.45	72
815.45	73
816.45	75
817.45	74
818.45	83
819.45	64
820.45	77
821.45	50
822.45	70
823.45	64
824.45	66
825.45	48
826.45	56
827.45	75
828.449	74
829.449	77
830.449	71
831.449	58
832.449	86
833.449	49
834.449	61
835.449	72
836.449	73
837.449	87
838.449	57
839.449	70
840.449	81
841.449	77
842.449	75
843.449	78
844.448	76
845.448	56
846.448	70
847.448	68
848.448	68
849.448	51
850.448	79
851.448	71
852.448	73
853.448	74
854.448	69
855.448	72
856.448	72
857.448	58
858.448	60
859.448	56
860.448	62
861.447	63
862.447	64
863.447	65
864.447	63
865.447	55
866.447	59
867.447	70
868.447	68
869.447	68
870.447	62
871.447	77
872.447	77
873.447	67
874.447	65
875.447	58
876.447	73
877.446	76
878.446	64
879.446	61
880.446	62
881.446	54
882.446	61
883.446	59
884.446	73
885.446	66
886.446	66
887.446	67
888.446	75
889.446	75
890.446	75
891.446	77
892.446	65
893.445	59
894.445	79
895.445	65
896.445	70
897.445	78
898.445	54
899.445	63
900.445	73
901.445	63
902.445	56
903.445	66
904.445	79
905.445	75
906.445	59
907.445	61
908.445	68
909.445	50
910.444	62
911.444	72
912.444	62
913.444	53
914.444	59
915.444	60
916.444	64
917.444	56
918.444	37
919.444	50
920.444	56
921.444	76
922.444	67
923.444	74
924.444	77
925.444	68
926.443	69
927.443	73
928.443	49
929.443	58
930.443	59
931.443	57
932.443	61
933.443	67
934.443	63
935.443	67
936.443	64
937.443	64
938.443	61
939.443	74
940.443	53
941.443	62
942.443	69
943.442	59
944.442	52
945.442	69
946.442	49
947.442	55
948.442	54
949.442	63
950.442	52
951.442	72
952.442	65
953.442	78
954.442	54
955.442	64
956.442	64
957.442	63
958.442	61
959.441	70
960.441	50
961.441	62
962.441	56
963.441	56
964.441	49
965.441	56
966.441	59
967.441	54
968.441	59
969.441	66
970.441	64
971.441	65
972.441	60
973.441	54
974.441	61
975.44	55
976.44	59
977.44	46
978.44	75
979.44	55
980.44	67
981.44	61
982.44	64
983.44	68
984.44	58
985.44	50
986.44	69
987.44	62
988.44	68
989.44	63
990.44	67
991.44	55
992.439	58
993.439	52
994.439	50
995.439	54
996.439	62
997.439	60
998.439	61
999.439	52
1000.44	67
1001.44	57
1002.44	62
1003.44	65
1004.44	48
1005.44	51
1006.44	56
1007.44	52
1008.44	59
1009.44	53
1010.44	68
1011.44	55
1012.44	50
1013.44	52
1014.44	52
1015.44	58
1016.44	62
1017.44	46
1018.44	54
1019.44	71
1020.44	63
1021.44	69
1022.44	55
1023.44	64
1024.44	60
1025.44	59
1026.44	57
1027.44	43
1028.44	49
1029.44	60
1030.44	43
1031.44	56
1032.44	45
1033.44	53
1034.44	57
1035.44	52
1036.44	61
1037.44	43
1038.44	50
1039.44	54
1040.44	69
1041.44	50
1042.44	77
1043.44	54
1044.44	56
1045.44	51
1046.44	53
1047.44	51
1048.44	53
1049.44	45
1050.44	53
1051.44	43
1052.44	58
1053.44	53
1054.44	56
1055.44	43
1056.44	45
1057.44	67
1058.44	59
1059.44	52
1060.44	59
1061.44	41
1062.44	61
1063.44	56
1064.44	64
1065.43	49
1066.43	46
1067.43	60
1068.43	53
1069.43	60
1070.43	67
1071.43	61
1072.43	51
1073.43	60
1074.43	48
1075.43	48
1076.43	55
1077.43	43
1078.43	49
1079.43	50
1080.43	56
1081.43	65
1082.43	48
1083.43	53
1084.43	45
1085.43	63
1086.43	57
1087.43	64
1088.43	41
1089.43	41
1090.43	65
1091.43	49
1092.43	48
1093.43	53
1094.43	53
1095.43	44
1096.43	64
1097.43	45
1098.43	56
1099.43	41
1100.43	47
1101.43	54
1102.43	50
1103.43	46
1104.43	47
1105.43	44
1106.43	52
1107.43	39
1108.43	53
1109.43	61
1110.43	62
1111.43	52
1112.43	49
1113.43	42
1114.43	37
1115.43	32
1116.43	47
1117.43	43
1118.43	51
1119.43	52
1120.43	57
1121.43	72
1122.43	63
1123.43	50
1124.43	50
1125.43	44
1126.43	50
1127.43	57
1128.43	57
1129.43	51
1130.43	44
1131.43	48
1132.43	58
1133.43	53
1134.43	49
1135.43	38
1136.43	48
1137.43	53
1138.43	51
1139.43	51
1140.43	51
1141.43	48
1142.43	48
1143.43	43
1144.43	38
1145.43	46
1146.43	55
1147.43	48
1148.43	66
1149.43	48
1150.43	30
1151.43	39
1152.43	44
1153.43	54
1154.43	56
1155.43	41
1156.43	47
1157.43	49
1158.43	57
1159.43	53
1160.43	45
1161.43	48
1162.43	56
1163.43	49
1164.43	44
1165.43	49
1166.43	48
1167.43	43
1168.43	50
1169.43	51
1170.43	48
1171.43	59
1172.43	34
1173.43	42
1174.43	51
1175.43	46
1176.43	56
1177.43	49
1178.43	44
1179.43	56
1180.43	59
1181.43	47
1182.43	56
1183.43	50
1184.43	54
1185.43	56
1186.43	45
1187.43	40
1188.43	51
1189.43	54
1190.43	45
1191.43	50
1192.43	40
1193.43	37
1194.43	50
1195.43	64
1196.43	48
1197.43	39
1198.43	53
1199.43	55
1200.43	50
1201.43	46
1202.43	41
1203.43	47
1204.43	29
1205.43	51
1206.43	41
1207.43	44
1208.43	48
1209.43	53
1210.43	45
1211.43	41
1212.43	44
1213.43	65
1214.43	36
1215.43	52
1216.43	52
1217.43	50
1218.43	61
1219.43	51
1220.43	44
1221.43	44
1222.43	52
1223.43	47
1224.43	41
1225.43	44
1226.43	38
1227.43	55
1228.43	40
1229.42	42
1230.42	51
1231.42	43
1232.42	48
1233.42	46
1234.42	37
1235.42	44
1236.42	41
1237.42	48
1238.42	44
1239.42	50
1240.42	42
1241.42	47
1242.42	45
1243.42	44
1244.42	53
1245.42	41
1246.42	43
1247.42	58
1248.42	46
1249.42	40
1250.42	44
1251.42	48
1252.42	51
1253.42	44
1254.42	34
1255.42	45
1256.42	37
1257.42	40
1258.42	42
1259.42	29
1260.42	45
1261.42	45
1262.42	36
1263.42	50
1264.42	37
1265.42	31
1266.42	41
1267.42	35
1268.42	39
1269.42	37
1270.42	36
1271.42	39
1272.42	35
1273.42	37
1274.42	44
1275.42	35
1276.42	56
1277.42	32
1278.42	30
1279.42	32
1280.42	45
1281.42	37
1282.42	38
1283.42	52
1284.42	42
1285.42	41
1286.42	35
1287.42	42
1288.42	38
1289.42	58
1290.42	41
1291.42	43
1292.42	29
1293.42	46
1294.42	34
1295.42	39
1296.42	47
1297.42	38
1298.42	36
1299.42	44
1300.42	25
1301.42	37
1302.42	37
1303.42	36
1304.42	42
1305.42	30
1306.42	38
1307.42	39
1308.42	28
1309.42	33
1310.42	44
1311.42	33
1312.42	44
1313.42	27
