Time [seconds]	Counts
4.99268e+11	230
1.4978e+12	211
2.49634e+12	226
3.49487e+12	197
4.49341e+12	211
5.49195e+12	237
6.49048e+12	216
7.48902e+12	203
8.48755e+12	204
9.48609e+12	219
1.04846e+13	205
1.14832e+13	220
1.24817e+13	238
1.34802e+13	215
1.44788e+13	186
1.54773e+13	192
1.64758e+13	202
1.74744e+13	237
1.84729e+13	199
1.94714e+13	203
2.047e+13	221
2.14685e+13	236
2.24671e+13	198
2.34656e+13	201
2.44641e+13	201
2.54627e+13	231
2.64612e+13	205
2.74597e+13	192
2.84583e+13	211
2.94568e+13	222
3.04553e+13	212
3.14539e+13	216
3.24524e+13	234
3.34509e+13	208
3.44495e+13	206
3.5448e+13	175
3.64466e+13	213
3.74451e+13	223
3.84436e+13	250
3.94422e+13	233
4.04407e+13	214
4.14392e+13	214
4.24378e+13	195
4.34363e+13	215
4.44348e+13	224
4.54334e+13	211
4.64319e+13	222
4.74304e+13	197
4.8429e+13	226
4.94275e+13	219
5.04261e+13	228
5.14246e+13	188
5.24231e+13	220
5.34217e+13	209
5.44202e+13	206
5.54187e+13	216
5.64173e+13	199
5.74158e+13	222
5.84143e+13	221
5.94129e+13	214
6.04114e+13	229
6.14099e+13	233
6.24085e+13	236
6.3407e+13	195
6.44056e+13	207
6.54041e+13	220
6.64026e+13	242
6.74012e+13	211
6.83997e+13	219
6.93982e+13	219
7.03968e+13	215
7.13953e+13	208
7.23938e+13	202
7.33924e+13	219
7.43909e+13	235
7.53894e+13	221
7.6388e+13	194
7.73865e+13	215
7.8385e+13	247
7.93836e+13	222
8.03821e+13	207
8.13807e+13	189
8.23792e+13	220
8.33777e+13	251
8.43763e+13	237
8.53748e+13	196
8.63733e+13	171
8.73719e+13	220
8.83704e+13	241
8.93689e+13	213
9.03675e+13	207
9.1366e+13	184
9.23646e+13	213
9.33631e+13	221
9.43616e+13	187
9.53602e+13	202
9.63587e+13	213
9.73572e+13	203
9.83558e+13	213
9.93543e+13	226
1.00353e+14	204
1.01351e+14	215
1.0235e+14	210
1.03348e+14	217
1.04347e+14	211
1.05346e+14	204
1.06344e+14	208
1.07343e+14	233
1.08341e+14	210
1.0934e+14	236
1.10338e+14	213
1.11337e+14	201
1.12335e+14	213
1.13334e+14	198
1.14332e+14	212
1.15331e+14	190
1.16329e+14	211
1.17328e+14	220
1.18326e+14	217
1.19325e+14	207
1.20324e+14	206
1.21322e+14	216
1.22321e+14	203
1.23319e+14	218
1.24318e+14	212
1.25316e+14	224
1.26315e+14	208
1.27313e+14	229
1.28312e+14	196
1.2931e+14	207
1.30309e+14	222
1.31307e+14	204
1.32306e+14	230
1.33305e+14	198
1.34303e+14	214
1.35302e+14	232
1.363e+14	230
1.37299e+14	204
1.38297e+14	202
1.39296e+14	207
1.40294e+14	206
1.41293e+14	228
1.42291e+14	199
1.4329e+14	230
1.44288e+14	205
1.45287e+14	211
1.46285e+14	196
1.47284e+14	212
1.48283e+14	188
1.49281e+14	192
1.5028e+14	212
1.51278e+14	228
1.52277e+14	231
1.53275e+14	213
1.54274e+14	206
1.55272e+14	180
1.56271e+14	189
1.57269e+14	208
1.58268e+14	240
1.59266e+14	205
1.60265e+14	215
1.61264e+14	195
1.62262e+14	200
1.63261e+14	214
1.64259e+14	200
1.65258e+14	201
1.66256e+14	205
1.67255e+14	211
1.68253e+14	193
1.69252e+14	223
1.7025e+14	219
1.71249e+14	202
1.72247e+14	237
1.73246e+14	248
1.74244e+14	230
1.75243e+14	219
1.76242e+14	196
1.7724e+14	203
1.78239e+14	216
1.79237e+14	216
1.80236e+14	199
1.81234e+14	190
1.82233e+14	212
1.83231e+14	206
1.8423e+14	199
1.85228e+14	200
1.86227e+14	215
1.87225e+14	234
1.88224e+14	207
1.89223e+14	228
1.90221e+14	222
1.9122e+14	221
1.92218e+14	208
1.93217e+14	209
1.94215e+14	184
1.95214e+14	190
1.96212e+14	240
1.97211e+14	199
1.98209e+14	246
1.99208e+14	244
2.00206e+14	204
2.01205e+14	200
2.02203e+14	204
2.03202e+14	218
2.04201e+14	214
2.05199e+14	192
2.06198e+14	200
2.07196e+14	227
2.08195e+14	223
2.09193e+14	222
2.10192e+14	212
2.1119e+14	198
2.12189e+14	195
2.13187e+14	233
2.14186e+14	225
2.15184e+14	228
2.16183e+14	229
2.17182e+14	214
2.1818e+14	213
2.19179e+14	190
2.20177e+14	222
2.21176e+14	203
2.22174e+14	224
2.23173e+14	208
2.24171e+14	233
2.2517e+14	214
2.26168e+14	208
2.27167e+14	220
2.28165e+14	196
2.29164e+14	225
2.30162e+14	199
2.31161e+14	214
2.3216e+14	200
2.33158e+14	197
2.34157e+14	221
2.35155e+14	217
2.36154e+14	203
2.37152e+14	195
2.38151e+14	210
2.39149e+14	211
2.40148e+14	227
2.41146e+14	220
2.42145e+14	227
2.43143e+14	226
2.44142e+14	217
2.45141e+14	218
2.46139e+14	193
2.47138e+14	203
2.48136e+14	206
2.49135e+14	204
2.50133e+14	216
2.51132e+14	230
2.5213e+14	221
2.53129e+14	189
2.54127e+14	209
2.55126e+14	195
2.56124e+14	203
2.57123e+14	223
2.58121e+14	202
2.5912e+14	217
2.60119e+14	225
2.61117e+14	200
2.62116e+14	202
2.63114e+14	200
2.64113e+14	233
2.65111e+14	213
2.6611e+14	211
2.67108e+14	212
2.68107e+14	207
2.69105e+14	213
2.70104e+14	215
2.71102e+14	193
