Time [seconds]	Counts
4.96309e+11	119
1.48893e+12	123
2.48155e+12	120
3.47416e+12	122
4.46678e+12	91
5.4594e+12	121
6.45202e+12	108
7.44464e+12	116
8.43725e+12	110
9.42987e+12	131
1.04225e+13	106
1.14151e+13	113
1.24077e+13	134
1.34003e+13	118
1.4393e+13	107
1.53856e+13	126
1.63782e+13	97
1.73708e+13	118
1.83634e+13	109
1.93561e+13	112
2.03487e+13	108
2.13413e+13	118
2.23339e+13	118
2.33265e+13	122
2.43191e+13	124
2.53118e+13	122
2.63044e+13	107
2.7297e+13	115
2.82896e+13	118
2.92822e+13	127
3.02749e+13	130
3.12675e+13	133
3.22601e+13	118
3.32527e+13	105
3.42453e+13	125
3.52379e+13	118
3.62306e+13	117
3.72232e+13	94
3.82158e+13	126
3.92084e+13	122
4.0201e+13	143
4.11936e+13	107
4.21863e+13	135
4.31789e+13	104
4.41715e+13	116
4.51641e+13	113
4.61567e+13	113
4.71494e+13	118
4.8142e+13	113
4.91346e+13	111
5.01272e+13	139
5.11198e+13	106
5.21124e+13	109
5.31051e+13	103
5.40977e+13	118
5.50903e+13	109
5.60829e+13	139
5.70755e+13	103
5.80682e+13	127
5.90608e+13	132
6.00534e+13	124
6.1046e+13	121
6.20386e+13	114
6.30312e+13	120
6.40239e+13	111
6.50165e+13	140
6.60091e+13	102
6.70017e+13	118
6.79943e+13	122
6.8987e+13	113
6.99796e+13	124
7.09722e+13	128
7.19648e+13	129
7.29574e+13	100
7.395e+13	125
7.49427e+13	102
7.59353e+13	111
7.69279e+13	131
7.79205e+13	128
7.89131e+13	124
7.99058e+13	109
8.08984e+13	118
8.1891e+13	133
8.28836e+13	111
8.38762e+13	122
8.48688e+13	119
8.58615e+13	98
8.68541e+13	116
8.78467e+13	132
8.88393e+13	117
8.98319e+13	132
9.08245e+13	121
9.18172e+13	116
9.28098e+13	121
9.38024e+13	125
9.4795e+13	108
9.57876e+13	122
9.67803e+13	121
9.77729e+13	113
9.87655e+13	132
9.97581e+13	124
1.00751e+14	106
1.01743e+14	138
1.02736e+14	111
1.03729e+14	116
1.04721e+14	113
1.05714e+14	130
1.06706e+14	107
1.07699e+14	123
1.08692e+14	132
1.09684e+14	122
1.10677e+14	117
1.1167e+14	131
1.12662e+14	124
1.13655e+14	108
1.14647e+14	101
1.1564e+14	114
1.16633e+14	139
1.17625e+14	98
1.18618e+14	98
1.1961e+14	102
