Time [seconds]	Counts
4.96309e+11	160
1.48893e+12	187
2.48155e+12	165
3.47416e+12	185
4.46678e+12	182
5.4594e+12	156
6.45202e+12	203
7.44464e+12	176
8.43725e+12	160
9.42987e+12	181
1.04225e+13	177
1.14151e+13	178
1.24077e+13	187
1.34003e+13	184
1.4393e+13	185
1.53856e+13	195
1.63782e+13	194
1.73708e+13	175
1.83634e+13	155
1.93561e+13	161
2.03487e+13	150
2.13413e+13	179
2.23339e+13	188
2.33265e+13	191
2.43191e+13	180
2.53118e+13	181
2.63044e+13	172
2.7297e+13	159
2.82896e+13	172
2.92822e+13	155
3.02749e+13	172
3.12675e+13	184
3.22601e+13	189
3.32527e+13	187
3.42453e+13	191
3.52379e+13	188
3.62306e+13	157
3.72232e+13	176
3.82158e+13	196
3.92084e+13	175
4.0201e+13	190
4.11936e+13	175
4.21863e+13	181
4.31789e+13	171
4.41715e+13	181
4.51641e+13	203
4.61567e+13	178
4.71494e+13	185
4.8142e+13	171
4.91346e+13	165
5.01272e+13	180
5.11198e+13	169
5.21124e+13	199
5.31051e+13	177
5.40977e+13	178
5.50903e+13	219
5.60829e+13	199
5.70755e+13	187
5.80682e+13	187
5.90608e+13	194
6.00534e+13	177
6.1046e+13	194
6.20386e+13	203
6.30312e+13	165
6.40239e+13	168
6.50165e+13	170
6.60091e+13	160
6.70017e+13	183
6.79943e+13	155
6.8987e+13	191
6.99796e+13	194
7.09722e+13	191
7.19648e+13	155
7.29574e+13	170
7.395e+13	175
7.49427e+13	191
7.59353e+13	184
7.69279e+13	170
7.79205e+13	170
7.89131e+13	164
7.99058e+13	174
8.08984e+13	179
8.1891e+13	179
8.28836e+13	182
8.38762e+13	170
8.48688e+13	189
8.58615e+13	173
8.68541e+13	214
8.78467e+13	192
8.88393e+13	180
8.98319e+13	173
9.08245e+13	178
9.18172e+13	182
9.28098e+13	200
9.38024e+13	163
9.4795e+13	172
9.57876e+13	190
9.67803e+13	173
9.77729e+13	183
9.87655e+13	205
9.97581e+13	187
1.00751e+14	190
1.01743e+14	172
1.02736e+14	187
1.03729e+14	180
1.04721e+14	173
1.05714e+14	201
1.06706e+14	183
1.07699e+14	167
1.08692e+14	204
1.09684e+14	165
1.10677e+14	204
1.1167e+14	184
1.12662e+14	196
1.13655e+14	207
1.14647e+14	208
1.1564e+14	172
1.16633e+14	195
1.17625e+14	171
1.18618e+14	194
1.1961e+14	206
